high_activity,packets_ratio,source_port,low_activity,bytes_ratio,destination_port,nat_destination_port,elapsed_time_(sec),nat_source_port,burst_transfer,bytes_per_sec,action
0,0.5,57222,0,1.119047619047619,53,53,30,54587,0,5.89999980333334,allow
0,1.0,56258,0,0.5048911328494793,3389,3389,17,56258,0,280.4705717370252,allow
0,0.5,6881,0,0.9752066115702479,50321,50321,1199,43265,0,0.19849874879191096,allow
0,1.0,50553,0,0.7608465608465609,3389,3389,17,50553,0,195.70587084083112,allow
0,0.6842105263157895,50002,0,0.36478122813626823,443,443,16,45848,0,1584.8749009453186,allow
0,1.2,51465,0,0.6738487536966624,443,443,16,39975,0,247.5624845273447,allow
0,0.75,60513,0,0.7734806629834254,47094,47094,7,45469,0,45.7142791836744,allow
0,1.0,50049,0,0.7039190353143842,443,443,96,21285,0,82.41666580815973,allow
0,1.0,52244,0,70.0,58774,58774,5,2211,0,13.999997200000559,allow
0,0.8823529411764706,50627,0,0.254291356524381,443,443,75,16215,0,110.07999853226669,allow
0,1.1666666666666667,43676,0,1.1849529780564263,80,80,35,45378,0,19.885713717551038,allow
0,0.7692307692307693,52190,0,0.12300296903718366,443,443,15,16680,0,529.4666313688913,allow
0,1.125,50690,0,3.1182519280205656,80,80,31,20479,0,154.99999500000015,allow
0,0.5,55597,0,1.036144578313253,53,53,30,45448,0,5.59999981333334,allow
0,0.8181818181818182,49164,0,0.14977140154501026,443,443,75,45916,0,97.22666537031114,allow
0,0.8666666666666667,36887,0,0.3017518770110833,443,443,28,63451,0,390.0714146403066,allow
0,0.5,1939,0,0.5864661654135338,53,53,30,33288,0,6.999999766666674,allow
0,0.5,50281,0,1.0851063829787233,53,53,30,33175,0,6.49999978333334,allow
0,0.5,57222,0,1.119047619047619,53,53,30,51448,0,5.89999980333334,allow
0,0.5,56710,0,1.119047619047619,53,53,30,57885,0,5.89999980333334,allow
0,0.9473684210526315,48488,0,0.33217141685462376,443,443,24,26104,0,541.3749774427092,allow
0,1.0,50691,0,5.748407643312102,80,80,31,62082,0,136.67741494588984,allow
0,1.1428571428571428,50693,0,3.150557620817844,80,80,30,54649,0,148.83332837222238,allow
0,0.5,1940,0,0.5864661654135338,53,53,30,23603,0,6.999999766666674,allow
0,0.5,50172,0,0.582089552238806,53,53,30,37056,0,7.033333098888897,allow
0,0.5,38802,0,0.7086614173228346,53,53,30,38802,0,7.199999760000008,allow
0,0.5,50281,0,1.0851063829787233,53,53,30,8038,0,6.49999978333334,allow
0,1.0,50051,0,0.7039190353143842,443,443,96,1683,0,82.41666580815973,allow
0,0.875,52192,0,0.08985076959137432,443,443,15,41129,0,929.8666046755598,allow
0,1.2592592592592593,57886,0,3.1103650347942864,443,443,33,10717,0,1020.2120902966034,allow
0,0.9,50289,0,0.1785890478539714,80,80,87,7131,0,82.36781514519753,allow
0,0.8461538461538461,58615,0,0.2931887366818874,443,443,121,30095,0,56.16528879202241,allow
0,0.5,38551,0,0.8571428571428571,53,53,30,14191,0,5.59999981333334,allow
0,0.5,64787,0,0.16267942583732056,53,53,30,29856,0,24.266665857777802,allow
0,0.7282608695652174,34529,0,0.9725772936213085,443,443,381,30445,0,164.44094445028622,allow
0,1.0769230769230769,52184,0,0.30544600938967137,443,443,135,13267,0,102.97777701497944,allow
0,1.125,60377,0,0.5212971078001752,443,443,123,34261,0,70.55284495485492,allow
0,0.5196850393700787,59347,0,0.0444805007776647,80,80,15,59347,0,7252.666183155588,allow
0,1.0,50077,0,0.7177002583979328,443,443,25,40548,0,319.0399872384005,allow
0,1.1,50149,0,0.08441071763162826,80,80,46,2917,0,251.6086901824198,allow
0,1.2222222222222223,50004,0,0.4237343317597265,443,443,15,10108,0,582.999961133336,allow
0,1.0,60411,0,1.4499229583975346,80,80,121,48309,0,13.132231296427841,allow
0,1.25,60354,0,0.6580976863753213,80,80,124,7611,0,5.19354834521332,allow
0,1.2,60399,0,2.3022598870056497,80,80,122,36861,0,9.57377041332975,allow
0,0.8181818181818182,60348,0,0.18545704782658562,80,80,124,15161,0,83.34677352139698,allow
0,0.9230769230769231,60420,0,0.8022374145431945,80,80,120,1065,0,120.81666565986112,allow
0,1.0,60423,0,0.1919262223768923,443,443,120,61729,0,57.074999524375,allow
0,1.0909090909090908,60360,0,0.26775291828793774,443,443,123,62556,0,42.37398339533347,allow
0,1.0909090909090908,60363,0,0.26762275157997084,443,443,123,28558,0,42.3902435578029,allow
0,0.9166666666666666,9523,0,0.24352331606217617,443,443,33,27776,0,218.1515085408634,allow
0,1.524099441907661,63842,0,4.5995971624563055,45682,45682,107,31353,1,43805.69117938606,allow
0,1.0,60430,0,0.2509881422924901,443,443,119,49199,0,47.86554581625592,allow
0,0.8,59878,0,2.6704653371320037,443,443,112,30562,0,34.49999969196429,allow
0,2.0,53179,0,70.0,12502,12502,7,28254,0,9.999998571428776,allow
0,1.1428571428571428,60414,0,2.1519065190651907,80,80,121,46472,0,42.34710708804044,allow
0,1.2,60400,0,0.9007803790412486,80,80,122,41884,0,13.967213000268746,allow
0,1.1666666666666667,60407,0,0.23980351295028282,443,443,121,49458,0,68.82644571217814,allow
0,1.0,60398,0,1.0267379679144386,80,80,122,57820,0,3.0983606303413063,allow
0,0.9285714285714286,60339,0,0.2882493125572869,80,80,124,1887,0,283.3548364245578,allow
0,1.3333333333333333,38641,0,1.5118110236220472,443,443,14,31615,0,22.714284091836852,allow
0,0.5,54996,0,1.036144578313253,53,53,31,2476,0,5.419354663891784,allow
0,1.0,48066,0,62.0,443,443,4,56844,0,15.499996125000969,allow
0,0.75,60811,0,0.7513812154696132,40010,40010,5,33835,0,63.199987360002524,allow
0,0.7843137254901961,52103,0,0.08814269046972142,80,80,38,61932,0,1791.6578475879514,allow
0,0.875,52195,0,0.08985076959137432,443,443,15,11275,0,929.8666046755598,allow
0,0.6666666666666666,50000,0,0.2963917525773196,53,53,52,16568,0,9.65384596819527,allow
0,0.875,52193,0,0.08985076959137432,443,443,15,50924,0,929.8666046755598,allow
0,0.5,55234,0,1.119047619047619,53,53,29,5157,0,6.103448065398342,allow
0,1.0,50692,0,1.671641791044776,80,80,31,30484,0,184.7419295244539,allow
0,1.5,60370,0,1.6189473684210527,80,80,123,40899,0,10.10569097475048,allow
0,0.5,65401,0,0.7611940298507462,53,53,29,57745,0,8.103447996432827,allow
0,0.5,51737,0,0.5064935064935064,53,53,30,3505,0,7.699999743333342,allow
0,0.8125,50685,0,0.7144850533998819,80,80,34,6959,0,1879.1470035545,allow
0,0.6923076923076923,52191,0,0.11452000565530893,443,443,15,46265,0,525.466631635558,allow
0,1.2,54557,0,0.6179427687548337,80,80,15,41721,0,139.3999907066673,allow
0,1.0,48818,0,0.6678671468587435,443,443,15,11974,0,277.79998148000124,allow
0,0.5,64223,0,0.8867924528301887,53,53,30,57211,0,6.633333112222229,allow
0,0.5,49245,0,0.50199203187251,53,53,29,34102,0,12.965516794292524,allow
0,0.5,65258,0,0.35031277926720283,443,443,120,17337,0,50.35833291368056,allow
0,0.5,64399,0,0.9090909090909091,53,53,29,50659,0,7.931034209274682,allow
0,0.5,55234,0,1.119047619047619,53,53,30,22160,0,5.89999980333334,allow
0,1.0,64593,1,94.0,53,53,30,56394,0,3.133333228888892,allow
0,0.5,56911,0,1.119047619047619,53,53,31,36658,0,5.709677235171702,allow
0,1.25,53977,0,1.6363636363636365,22266,22266,17,9645,0,28.94117476816619,allow
0,1.1111111111111112,50148,0,0.10596996703699182,80,80,46,57004,0,196.91303919754264,allow
0,2.0,53178,0,70.0,42671,42671,8,48767,0,8.749998906250138,allow
0,0.6923076923076923,52181,0,0.11575060360744212,443,443,15,64436,0,523.6666317555579,allow
0,0.5,65004,0,0.40869565217391307,53,53,30,23515,0,10.76666630777779,allow
0,0.921875,46265,0,0.05659563087321752,443,443,448,19534,0,388.0089277053372,allow
0,1.1176470588235294,49158,0,0.4118277474668745,443,443,36,27828,0,402.4999888194448,allow
0,0.5,33067,0,0.8571428571428571,53,53,30,47200,0,5.59999981333334,allow
0,0.5,56911,0,1.119047619047619,53,53,30,39355,0,5.89999980333334,allow
0,0.5,22767,0,0.8760330578512396,53,53,30,22767,0,7.533333082222231,allow
0,0.5126050420168067,52715,0,0.03761031309405411,443,443,122,38027,0,1351.147529908627,allow
0,1.0,33845,0,0.9767441860465116,80,80,27,39303,0,15.703703122085068,allow
0,1.0833333333333333,61442,0,1.249834765366821,443,443,42,19223,0,81.02380759467125,allow
0,0.9166666666666666,9446,0,0.273568281938326,443,443,46,50836,0,188.5217350321362,allow
0,0.8666666666666667,52194,0,0.09658839167035889,443,443,15,38386,0,824.9332783377815,allow
0,1.0,58306,0,1.0163170163170163,443,443,29,59387,0,29.7931024209275,allow
0,0.6666666666666666,42412,0,0.5185185185185185,443,443,26,55628,0,7.846153544378709,allow
0,0.5,56710,0,1.119047619047619,53,53,30,52813,0,5.89999980333334,allow
0,0.2234762979683973,61396,0,0.015557547984326228,443,443,246,45721,0,2237.7398283018706,allow
0,0.9714285714285714,61273,0,0.7759725607004242,443,443,480,55960,0,40.98958324793837,allow
0,0.6666666666666666,50016,0,0.15512048192771086,53,53,41,14072,0,18.68292637358716,allow
0,1.1428571428571428,58307,0,1.1794871794871795,443,443,29,36806,0,32.20689544114153,allow
0,0.5,55182,0,0.47,53,53,30,36739,0,9.766666341111122,allow
